编号,名称,百度词条,百度地址,百度置信度,维基词条,维基地址,维基置信度,待复核候选
1-0052-3-005,平阳府君阙,平阳府君阙,https://baike.baidu.com/view/50934.htm,exact,平阳府君阙,https://zh.wikipedia.org/wiki/%E5%B9%B3%E9%98%B3%E5%BA%9C%E5%90%9B%E9%98%99,exact,
1-0054-3-007,孝堂山郭氏墓石祠,孝堂山郭氏墓石祠,https://baike.baidu.com/view/418198.htm,exact,孝堂山郭氏墓石祠,https://zh.wikipedia.org/wiki/%E5%AD%9D%E5%A0%82%E5%B1%B1%E9%83%AD%E6%B0%8F%E5%A2%93%E7%9F%B3%E7%A5%A0,exact,
1-0055-3-008,嘉祥武氏墓群石刻,嘉祥武氏墓群石刻,https://baike.baidu.com/view/418200.htm,exact,,,,
1-0056-3-009,高颐墓阙及石刻,高颐墓阙及石刻,https://baike.baidu.com/view/418204.htm,exact,,,,
1-0057-3-010,褒斜道石门及其摩崖石刻,褒斜道石门及其摩崖石刻,https://baike.baidu.com/view/418206.htm,exact,,,,
1-0058-3-011,安济桥（大石桥）,安济桥,https://baike.baidu.com/view/37128.htm,related-location,,,,
1-0059-3-012,安平桥（五里桥）,,,,安平桥,https://zh.wikipedia.org/wiki/%E5%AE%89%E5%B9%B3%E6%A1%A5,search-related-location,
1-0060-3-013,永通桥（小石桥）,,,,永通桥,https://zh.wikipedia.org/wiki/%E6%B0%B8%E9%80%9A%E6%A1%A5,search-related-location,
1-0061-3-014,嵩岳寺塔,嵩岳寺塔,https://baike.baidu.com/subview/105128/105128.htm,exact,嵩岳寺塔,https://zh.wikipedia.org/wiki/%E5%B5%A9%E5%B2%B3%E5%AF%BA%E5%A1%94,exact,
1-0062-3-015,四门塔,四门塔,https://baike.baidu.com/subview/105129/18934265.htm,exact,四门塔,https://zh.wikipedia.org/wiki/%E5%9B%9B%E9%97%A8%E5%A1%94,exact,
1-0063-3-016,大雁塔,大雁塔,https://baike.baidu.com/subview/5516/7553375.htm,exact,大雁塔,https://zh.wikipedia.org/wiki/%E5%A4%A7%E9%9B%81%E5%A1%94,exact,
1-0064-3-017,小雁塔,小雁塔,https://baike.baidu.com/view/16072.htm,exact,小雁塔,https://zh.wikipedia.org/wiki/%E5%B0%8F%E9%9B%81%E5%A1%94,exact,
1-0065-3-018,崇圣寺三塔,崇圣寺三塔,https://baike.baidu.com/view/21446.htm,exact,崇圣寺三塔,https://zh.wikipedia.org/wiki/%E5%B4%87%E5%9C%A3%E5%AF%BA%E4%B8%89%E5%A1%94,exact,
1-0066-3-019,房山云居寺塔及石经,房山云居寺塔及石经,https://baike.baidu.com/view/418211.htm,exact,房山云居寺塔及石经,https://zh.wikipedia.org/wiki/%E6%88%BF%E5%B1%B1%E4%BA%91%E5%B1%85%E5%AF%BA%E5%A1%94%E5%8F%8A%E7%9F%B3%E7%BB%8F,exact,
1-0067-3-020,兴教寺塔,兴教寺塔,https://baike.baidu.com/view/418212.htm,exact,,,,
1-0068-3-021,苏州云岩寺塔,苏州云岩寺塔,https://baike.baidu.com/view/418218.htm,exact,,,,
1-0069-3-022,祐国寺塔（铁塔）,铁塔,https://baike.baidu.com/view/8032.htm,related-location,,,,
1-0070-3-023,定县开元寺塔（料敌塔）,定县开元寺塔,https://baike.baidu.com/view/10610605.htm,related-location,,,,
1-0071-3-024,佛宫寺释迦塔（应县木塔）,佛宫寺释迦塔,https://baike.baidu.com/view/105139.htm,manual,,,,法门寺 | https://zh.wikipedia.org/wiki/%E6%B3%95%E9%97%A8%E5%AF%BA | different-title
1-0072-3-025,六和塔,六和塔,https://baike.baidu.com/subview/25739/16964172.htm,exact,六和塔,https://zh.wikipedia.org/wiki/%E5%85%AD%E5%92%8C%E5%A1%94,exact,
1-0073-3-026,广惠寺华塔,广惠寺华塔,https://baike.baidu.com/view/418227.htm,exact,广惠寺华塔,https://zh.wikipedia.org/wiki/%E5%B9%BF%E6%83%A0%E5%AF%BA%E5%8D%8E%E5%A1%94,exact,
1-0074-3-027,妙应寺白塔,妙应寺白塔,https://baike.baidu.com/view/174096.htm,exact,妙应寺白塔,https://zh.wikipedia.org/wiki/%E5%A6%99%E5%BA%94%E5%AF%BA%E7%99%BD%E5%A1%94,exact,
1-0075-3-028,真觉寺金刚宝座（五塔寺塔）,真觉寺金刚宝座,https://baike.baidu.com/view/418228.htm,related-location,,,,
